genres,app_name,release_date,tags,item_id,playtime_forever
['Strategy'],Disciples II: Gallean's Return,2006,"['Turn-Based Strategy', 'Strategy', 'Classic', 'Atmospheric', 'Dark Fantasy', 'Turn-Based', 'Fantasy', 'Tactical', 'RPG', 'Gothic', 'Great Soundtrack', 'Multiplayer', 'Isometric']",1640,66
['Strategy'],Disciples II: Rise of the Elves,2006,"['Strategy', 'Turn-Based Strategy', 'Fantasy', 'Turn-Based', 'Classic', 'RPG', 'Dark Fantasy', 'Atmospheric']",1630,746
"['Action', 'Indie', 'RPG']",The Ship: Murder Party,2006,"['Multiplayer', 'Indie', 'Action', 'First-Person', 'Stealth', 'Mystery', 'RPG', 'Assassin', 'Funny', 'Survival', 'Simulation', 'Singleplayer', 'FPS', 'Strategy', 'Comedy', 'Adventure', 'Shooter', 'Difficult', 'Replay Value', 'Stylized']",2400,577
['Strategy'],United Tactics,0,"['Strategy', 'Co-op', 'Turn-Based', 'Tactical', 'War', 'Multiplayer', 'Turn-Based Strategy']",662570,0
"['Indie', 'Massively Multiplayer', 'RPG', 'Early Access']",Life of Rome,0,"['Early Access', 'Massively Multiplayer', 'RPG', 'Indie', 'Rome', 'Historical', 'Multiplayer', 'Open World', 'Realistic', 'Crafting', 'Trading', 'Character Customization', 'MMORPG', 'First-Person', 'Third Person', 'Swordplay', 'Simulation', 'Hunting', 'Great Soundtrack']",381620,0
"['Adventure', 'Free to Play', 'RPG', 'Early Access']",Idle Adventure,0,"['Early Access', 'Free to Play', 'Adventure', 'RPG']",714020,0
Sin dato,Panoptic,0,"['Early Access', 'Indie', 'Action', 'VR']",541930,0
"['Action', 'Indie', 'Strategy', 'Early Access']",Souland,2017,"['Early Access', 'Strategy', 'Action', 'Indie', 'Pixel Graphics']",759920,0
"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy']",Darkness and a Crowd,2018,"['Action', 'Adventure', 'RPG', 'Indie', 'Violent', 'Strategy', 'Experience', 'Silent Protagonist']",659780,0
"['Action', 'Adventure', 'Indie', 'RPG']",TAROTICA VOO DOO,2017,"['Indie', 'Action', 'Adventure', 'RPG']",603280,0
"['Casual', 'Strategy', 'Early Access']",Chronicles of Vinland,2017,"['Early Access', 'Casual', 'Strategy', 'City Builder', 'Building', 'Economy', 'Base Building']",753110,0
"['Action', 'Indie']",Orbitality,2017,"['Indie', 'Action']",753100,0
Sin dato,Medicalholodeck Personal Version,0,['Education'],769350,0
"['Action', 'Adventure', 'Casual']",Atomic Adam: Episode 1,2017,"['Action', 'Adventure', 'Casual']",764280,0
Sin dato,Golf Masters,0,"['Simulation', 'Sports', 'Casual', 'Indie', 'Golf', 'VR']",374970,0
"['Adventure', 'Casual', 'Free to Play', 'Indie']",Mirt. Tales of the Cold Land. Chapter 2,2017,"['Adventure', 'Indie', 'Casual', 'Free to Play']",758550,0
['Action'],Advent Rising,2005,"['Action', 'Sci-fi', 'Story Rich', 'Singleplayer', 'Third-Person Shooter', 'Great Soundtrack']",3800,325
"['Indie', 'Strategy']",DEFCON,2006,"['Strategy', 'Indie', 'Multiplayer', 'Wargame', 'Cold War', 'Real-Time with Pause', 'RTS', 'Simulation', 'Atmospheric', '2D', 'Diplomacy', 'War', 'Tactical', 'Singleplayer', 'Great Soundtrack', 'Psychological Horror']",1520,243
"['Action', 'Indie', 'RPG']",The Ship: Single Player,2006,"['Action', 'RPG', 'Indie', 'Singleplayer', 'FPS']",2420,308
"['Indie', 'Simulation']",Garry's Mod,2006,"['Sandbox', 'Multiplayer', 'Funny', 'Moddable', 'Building', 'Co-op', 'Comedy', 'First-Person', 'Mod', 'Simulation', 'Online Co-Op', 'FPS', 'Singleplayer', 'Physics', 'Action', 'Indie', 'Shooter', 'Animation & Modeling', 'Adventure', 'Massively Multiplayer']",4000,5651
['Racing'],RACE - The WTCC Game,2006,"['Racing', 'Simulation']",4230,146
"['Casual', 'Indie']",Zen of Sudoku,2006,"['Casual', 'Indie', 'Puzzle']",4900,85
"['Casual', 'Indie']",Gumboy - Crazy Adventures™,2006,"['Casual', 'Indie', 'Singleplayer']",2520,342
['Strategy'],Ghost Master®,2003,"['Strategy', 'Comedy', 'Puzzle', 'Simulation', 'Classic', 'Singleplayer', 'Funny', 'Tactical', 'Horror', 'Sandbox', 'Great Soundtrack']",6200,102
['Strategy'],Vegas: Make It Big™,2006,"['Strategy', 'Simulation', 'Management']",6210,23
"['Adventure', 'RPG']",Dreamfall: The Longest Journey,2006,"['Adventure', 'Female Protagonist', 'Story Rich', 'Fantasy', 'Sci-fi', 'Singleplayer', 'Third Person', 'RPG', 'Futuristic', 'Great Soundtrack', 'Atmospheric', 'Cyberpunk']",6300,19
['Racing'],FlatOut 2™,2006,"['Racing', 'Destruction', 'Multiplayer', 'Great Soundtrack', 'Classic', 'Action', 'Singleplayer', 'Music', 'Simulation', 'Driving', 'Arcade', 'Physics', 'Comedy', 'Casual', 'Atmospheric', 'Funny']",2990,43
['Racing'],FlatOut,2005,"['Racing', 'Destruction', 'Driving', 'Multiplayer', 'Classic', 'Arcade', 'Funny', 'Action', 'Singleplayer', 'Great Soundtrack']",6220,473
"['Action', 'Adventure']",Lost Planet™: Extreme Condition,2007,"['Action', 'Adventure', 'Third-Person Shooter', 'Mechs', 'Sci-fi', 'Shooter', 'Third Person', 'Atmospheric', 'Multiplayer', 'Robots']",6510,139
['Strategy'],CivCity: Rome,2006,"['Strategy', 'City Builder', 'Simulation', 'Rome']",3980,392
['RPG'],Arx Fatalis,2002,"['RPG', 'First-Person', 'Classic', 'Atmospheric', 'Fantasy', 'Dark Fantasy', 'Singleplayer', 'Action', 'Underground', 'Story Rich', 'Adventure', 'Exploration']",1700,538
"['Action', 'Adventure', 'RPG']",The Longest Journey,2000,"['Adventure', 'Point & Click', 'Female Protagonist', 'Story Rich', 'Fantasy', 'Classic', 'Sci-fi', 'Futuristic', 'Singleplayer', 'Cyberpunk', 'Funny', 'Puzzle', 'Atmospheric', 'RPG', 'Action', 'Great Soundtrack', 'Third Person']",6310,304
['Strategy'],Civilization IV®: Warlords,2006,"['Strategy', 'Turn-Based', 'Turn-Based Strategy', '4X', 'Historical']",3990,1048
['Strategy'],Railroad Tycoon 3,2003,"['Strategy', 'Management', 'Trains', 'Simulation', 'Real-Time with Pause', 'Economy', 'Classic', 'Singleplayer']",7610,134
['Strategy'],Sid Meier's Railroads!,2006,"['Strategy', 'Trains', 'Management', 'Economy', 'Simulation', 'Singleplayer', 'Multiplayer', 'Real-Time with Pause', 'Classic', 'Casual']",7600,1834
Sin dato,Sin dato,0,Sin dato,0,0
['Strategy'],Railroad Tycoon II Platinum,1998,"['Strategy', 'Management', 'Trains', 'Simulation', 'Singleplayer', 'Classic', 'Economy']",7620,110
"['Casual', 'Indie']",RIP - Trilogy™,2007,"['Indie', 'Casual', 'Arcade', 'Shooter', 'Action', '2D', 'Singleplayer', 'Top-Down']",2540,22
['Strategy'],X-COM: Terror From the Deep,1995,"['Strategy', 'Classic', 'Sci-fi', 'Turn-Based', 'Turn-Based Strategy', 'Tactical', 'Aliens', 'Difficult', 'Underwater', 'Turn-Based Tactics', 'Lovecraftian', 'Isometric', 'Management', 'Singleplayer', 'Base Building', 'Horror']",7650,129
"['Action', 'Adventure']",Tomb Raider: Anniversary,2007,"['Action', 'Adventure', 'Female Protagonist', 'Puzzle', 'Third Person', 'Lara Croft', 'Platformer', 'Remake', 'Singleplayer', 'Classic', 'Action-Adventure', 'Dinosaurs', 'Parkour', 'Third-Person Shooter', 'Shooter', '3D Vision']",8000,247
['Action'],Devil May Cry® 3 Special Edition,2006,"['Action', 'Hack and Slash', 'Stylized', 'Great Soundtrack', 'Spectacle fighter', 'Character Action Game', 'Classic', 'Singleplayer', 'Difficult', 'Third Person', 'Adventure', ""Beat 'em up"", 'Fantasy', 'Story Rich', 'Atmospheric', 'Demons', 'Controller', 'Comedy', 'Funny', 'Horror']",6550,565
"['Action', 'Adventure']",Sam & Max 101: Culture Shock,2006,"['Point & Click', 'Comedy', 'Adventure', 'Detective', 'Mystery', 'Episodic', 'Funny']",8200,221
['Action'],Final DOOM,1996,"['FPS', 'Action', 'Classic', 'Retro', 'Shooter', 'Singleplayer', 'First-Person', ""1990's"", 'Moddable', 'Sci-fi', 'Difficult', 'Multiplayer', 'Great Soundtrack', 'Zombies', 'Demons', 'Gore', 'Horror', 'Online Co-Op', 'Atmospheric']",2290,57
"['Indie', 'RPG']",Vigil: Blood Bitterness™,2007,"['Indie', 'RPG', 'Puzzle', 'Singleplayer']",2570,249
"['Action', 'Adventure']",Sam & Max 102: Situation: Comedy,2006,"['Adventure', 'Action']",8210,9
['Action'],Ultimate Doom,1995,"['Classic', 'FPS', 'Action', ""1990's"", 'Great Soundtrack', 'Demons', 'Moddable', 'Singleplayer', 'Sci-fi', 'Retro', 'Shooter', 'Gore', 'First-Person', 'Fast-Paced', 'Violent', 'Multiplayer', '2.5D', 'Difficult', 'Horror', 'Zombies']",2280,160
['Action'],Master Levels for Doom II,1995,"['Action', 'FPS', 'Classic', 'Shooter', 'First-Person', 'Retro', 'Sci-fi', 'Singleplayer', ""1990's"", 'Gore', 'Zombies', 'Demons', 'Moddable', 'Great Soundtrack', 'Horror', 'Difficult']",9160,858
['Action'],DOOM II,1994,"['Classic', 'FPS', 'Action', ""1990's"", 'Shooter', 'Moddable', 'Demons', 'Sci-fi', 'Retro', 'Violent', 'First-Person', 'Multiplayer', 'Gore', 'Singleplayer', 'Zombies', 'Great Soundtrack', 'Pixel Graphics', 'Horror', 'Online Co-Op', '2.5D']",2300,184
['Action'],Wolfenstein 3D,1994,"['FPS', 'Classic', 'Action', 'World War II', 'Singleplayer', 'Retro', 'First-Person', ""1990's"", 'Shooter', 'Moddable', 'Pixel Graphics', '2.5D']",2270,252
['Action'],Return to Castle Wolfenstein,2001,"['FPS', 'Action', 'Classic', 'World War II', 'Supernatural', 'Alternate History', 'Singleplayer', 'Shooter', 'First-Person', 'Atmospheric', 'Multiplayer', 'Horror', 'Gore', 'Sci-fi', 'Stealth', 'Zombies', 'Adventure', 'Great Soundtrack', 'Retro']",9010,121
['Action'],QUAKE Mission Pack 1: Scourge of Armagon,1997,"['Action', 'FPS', 'Classic', 'Shooter', 'First-Person', 'Horror']",9040,18
['Action'],Spear of Destiny,1993,"['Action', 'FPS', 'Classic', 'World War II', 'Retro', 'Shooter', 'Singleplayer', ""1990's""]",9000,17
['Action'],BloodRayne,2003,"['Action', 'Vampire', 'Female Protagonist', 'Third Person', 'Singleplayer', 'Hack and Slash', 'Horror', 'Gore']",3810,243
['Action'],QUAKE Mission Pack 2: Dissolution of Eternity,2007,"['Action', 'FPS', 'Shooter', 'Classic', 'First-Person']",9030,30
['Action'],QUAKE,2007,"['FPS', 'Classic', 'Action', 'Shooter', 'Singleplayer', 'Multiplayer', ""1990's"", 'Gore', 'Lovecraftian', 'First-Person', 'Great Soundtrack', 'Sci-fi', 'Moddable', 'Horror', 'Retro', 'Fast-Paced', 'Atmospheric', 'Adventure', 'Competitive', 'Co-op']",2310,261
['Strategy'],Genesis Rising,2007,"['Strategy', 'Space', 'Sci-fi', 'RTS']",3230,144
['Strategy'],"Warhammer® 40,000: Dawn of War® – Winter Assault",2006,"['Strategy', 'Warhammer 40K', 'RTS', 'Sci-fi', 'Games Workshop', 'Base Building', 'Singleplayer', 'Multiplayer', 'Real-Time', 'Tactical', 'Futuristic', 'Action']",9310,901
"['Action', 'RPG']",BioShock™,2007,"['FPS', 'Atmospheric', 'Action', 'Story Rich', 'Singleplayer', 'Horror', 'Steampunk', 'First-Person', 'Shooter', 'RPG', 'Sci-fi', 'Classic', 'Adventure', 'Dystopian', 'Underwater', 'Political', 'Dark', 'Great Soundtrack', 'Alternate History', 'Action RPG']",7670,909
['Strategy'],"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006,"['Strategy', 'Warhammer 40K', 'RTS', 'Sci-fi', 'Multiplayer', 'Base Building', 'Games Workshop', 'Tactical', 'Real-Time', 'Singleplayer', 'Action', 'Classic', 'War', 'Great Soundtrack', 'Fantasy']",4570,1755
['Strategy'],"Warhammer® 40,000: Dawn of War® - Dark Crusade",2006,"['Strategy', 'Warhammer 40K', 'RTS', 'Sci-fi', 'Multiplayer', 'Base Building', 'Singleplayer', 'Games Workshop', 'Classic', 'Real-Time', 'Action', 'War', 'Atmospheric', 'Tactical', 'Gore', 'Fantasy', 'Co-op', 'Adventure']",4580,9535
['Strategy'],Rome: Total War™ - Collection,2004,"['Strategy', 'Historical', 'Rome', 'Turn-Based Strategy', 'Grand Strategy', 'RTS', 'Classic', 'Tactical', 'Multiplayer', 'Great Soundtrack', 'War', 'Singleplayer', 'Turn-Based', 'Moddable', 'Real Time Tactics', 'Action', 'Atmospheric', 'Simulation', '4X', 'Medieval']",4760,3235
['Strategy'],Rome: Total War™ - Alexander,2006,"['Strategy', 'RTS', 'Historical', 'Grand Strategy', 'Rome', 'Turn-Based Strategy', 'Turn-Based', 'Multiplayer', 'Singleplayer']",4770,208
['Casual'],Mystery Case Files: Madame Fate®,2007,"['Casual', 'Hidden Object']",50970,31
['Action'],Grand Theft Auto,1998,"['Action', 'Classic', 'Open World', 'Singleplayer', '2D', 'Adventure', 'Top-Down', ""1990's""]",12170,133
['Action'],Grand Theft Auto 2,1999,"['Action', 'Classic', 'Open World', 'Singleplayer', 'Shooter', 'Free to Play', '2D', 'Crime', 'Adventure', 'Violent', 'Gore']",12180,76
['Action'],Manhunt,2004,"['Gore', 'Stealth', 'Action', 'Horror', 'Violent', 'Singleplayer', 'Psychological Horror', 'Survival Horror', 'Atmospheric', 'Dark', 'Great Soundtrack', 'Third Person', 'Survival', 'Classic', 'Mature']",12130,334
['Racing'],Midnight Club 2,2003,"['Racing', 'Open World', 'Great Soundtrack', 'Arcade', 'Classic', 'Multiplayer', 'Singleplayer', 'Sandbox']",12160,465
['Action'],Max Payne 2: The Fall of Max Payne,2003,"['Noir', 'Action', 'Third-Person Shooter', 'Classic', 'Bullet Time', 'Story Rich', 'Atmospheric', 'Shooter', 'Third Person', 'Singleplayer', 'Dark', 'Great Soundtrack', 'Cinematic', 'Adventure', 'Crime', 'Nudity', 'Detective']",12150,577
"['Action', 'Adventure']",Tomb Raider: Legend,2006,"['Adventure', 'Action', 'Female Protagonist', 'Third Person', 'Puzzle', 'Lara Croft', 'Platformer', 'Singleplayer', 'Shooter', 'Action-Adventure', 'Third-Person Shooter', 'Controller']",7000,133
['Action'],Max Payne,2001,"['Noir', 'Action', 'Classic', 'Third-Person Shooter', 'Story Rich', 'Bullet Time', 'Atmospheric', 'Dark', 'Third Person', 'Shooter', 'Singleplayer', 'Great Soundtrack', 'Linear', 'Detective', 'Cinematic', 'Adventure', 'Violent', 'Crime', 'Horror', 'Psychological Horror']",12140,568
['Strategy'],Command & Conquer: Red Alert 3,2008,"['Strategy', 'RTS', 'Base Building', 'Multiplayer', 'Co-op', 'Alternate History', 'Sci-fi', 'Co-op Campaign', 'Real-Time', 'Singleplayer', 'Comedy', 'Classic', 'Action', 'Online Co-Op', 'Great Soundtrack', 'FMV', 'War', 'Atmospheric']",17480,631
['Casual'],PuzzleQuest: Challenge of the Warlords,2007,"['Puzzle', 'Casual', 'Match 3', 'RPG', 'Fantasy', '2D', 'Strategy', 'Singleplayer', 'Anime', 'Indie', 'Touch-Friendly']",12500,546
"['RPG', 'Casual', 'Adventure']",Culpa Innata,2007,"['Adventure', 'Sci-fi', 'RPG', 'Casual', 'Female Protagonist', 'Point & Click', 'Cyberpunk', 'Dystopian']",12310,3
['Strategy'],Prison Tycoon 3™: Lockdown,2007,"['Strategy', 'Simulation']",12510,36
"['Action', 'Adventure', 'Strategy']",Hunting Unlimited™ 2008,2007,"['Action', 'Adventure', 'Strategy', 'Hunting']",12530,33
['Racing'],18 Wheels of Steel: American Long Haul,2007,"['Simulation', 'Racing', 'Driving', 'Open World']",12520,100
['Action'],Conflict: Denied Ops,2008,"['Action', 'FPS', 'Singleplayer', 'Co-op', 'Multiplayer']",8100,45
['Action'],ARMA: Combat Operations,2007,"['Action', 'Simulation', 'Shooter', 'FPS', 'Tactical', 'Military']",2780,112
['Simulation'],Tycoon City: New York,2006,"['Simulation', 'Management', 'City Builder']",9730,587
['Action'],Desperados 2: Cooper's Revenge,2006,"['Action', 'Western', 'Strategy', 'Tactical']",9710,2
"['Action', 'Adventure']",Death to Spies,2007,"['Stealth', 'Action', 'Adventure', 'World War II', 'Singleplayer', 'Open World', 'Third Person', 'Classic']",9800,56
['Action'],Act of War: High Treason,2006,"['Action', 'Strategy', 'RTS']",9760,437
"['Simulation', 'Strategy']",RollerCoaster Tycoon® 3: Platinum,2006,"['Simulation', 'Management', 'Sandbox', 'Building', 'Strategy', 'Singleplayer', 'Economy', 'Classic', 'Real-Time with Pause', 'Funny', 'Family Friendly', 'Moddable', 'Multiplayer', 'Great Soundtrack', 'Comedy', 'Casual']",2700,687
['Action'],Act of War: Direct Action,2005,"['Action', 'Strategy', 'RTS']",2710,82
['Action'],Unreal 2: The Awakening,2003,"['Action', 'FPS', 'Shooter', 'Sci-fi', 'Singleplayer', 'First-Person', 'Classic', 'Multiplayer']",13200,171
['Action'],Unreal Gold,1998,"['Classic', 'FPS', 'Action', 'Great Soundtrack', 'Sci-fi', 'Atmospheric', 'First-Person', 'Shooter', 'Singleplayer', 'Multiplayer', ""1990's"", 'Female Protagonist', 'Adventure', 'Fast-Paced', 'Co-op', 'Nudity', 'Horror']",13250,103
"['Casual', 'Indie']",Ninja Reflex: Steamworks Edition,2008,"['Indie', 'Casual', 'Ninja']",13000,174
['Action'],Tom Clancy's Splinter Cell®,2003,"['Stealth', 'Action', 'Third Person', 'Singleplayer', 'Classic', 'Adventure', 'Shooter', 'Third-Person Shooter', 'Atmospheric', 'Multiplayer', 'Difficult']",13560,51
['Action'],Far Cry®,2004,"['FPS', 'Action', 'Classic', 'Shooter', 'Open World', 'Stealth', 'First-Person', 'Singleplayer', 'Difficult', 'Multiplayer', 'Adventure', 'Atmospheric', 'Story Rich', 'Sci-fi', 'Horror', 'Sandbox', 'Great Soundtrack', 'Survival']",13520,316
['Action'],Unreal Tournament: Game of the Year Edition,2000,"['Classic', 'FPS', 'Action', 'Arena Shooter', 'Fast-Paced', 'Multiplayer', 'Great Soundtrack', 'Shooter', 'Competitive', 'Sci-fi', 'First-Person', 'Moddable', 'Singleplayer', 'Gore', 'Co-op', ""1990's"", 'Cyberpunk', 'Atmospheric']",13240,1610
['Action'],Tom Clancy's Rainbow Six® Vegas,2006,"['Action', 'FPS', 'Tactical', 'Co-op', 'Singleplayer', 'First-Person', 'Shooter', 'Multiplayer', 'Online Co-Op', 'Classic', 'Stealth']",13540,18
['Simulation'],Silent Hunter® III,2005,"['Simulation', 'Naval', 'World War II', 'Military', 'Historical', 'Open World', 'Action', 'Realistic']",15210,485
"['Casual', 'Simulation']",Virtual Villagers - The Secret City,2008,"['Casual', 'Simulation']",16180,128
['Casual'],Mystery P.I.™ - The Vegas Heist,2008,"['Casual', 'Hidden Object']",3520,188
['Casual'],Luxor,2008,"['Casual', 'Match 3']",15970,329
['Casual'],Reaxxion,2008,"['Casual', 'Arcade']",15950,27
['Casual'],Little Farm,2008,"['Casual', 'Agriculture', 'Puzzle', 'Singleplayer']",15960,81
['Casual'],7 Wonders II,2008,"['Casual', 'Puzzle', 'Match 3', 'Singleplayer']",15900,70
['Casual'],Luxor Amun Rising,2005,['Casual'],15910,616
['Casual'],Luxor 3,2007,"['Casual', 'Puzzle']",15930,429
['Simulation'],Petz® Horsez® 2,2007,"['Simulation', 'Horses', 'Family Friendly', 'Psychological Horror']",15160,35
['Casual'],Luxor 2,2005,['Casual'],15920,3
"['Action', 'Adventure']",Rayman Raving Rabbids™,2007,"['Adventure', 'Action', 'Comedy', 'Funny', 'Multiplayer', 'Psychological Horror', 'Singleplayer']",15080,94
['Simulation'],Silent Hunter®: Wolves of the Pacific,2007,"['Simulation', 'World War II', 'Naval', 'Military']",15200,354
['Simulation'],IL-2 Sturmovik: 1946,2006,"['Simulation', 'Flight', 'World War II', 'Military', 'Historical', 'TrackIR', 'Realistic', 'Multiplayer', 'Action', 'Classic', 'Moddable']",15320,2341
['Simulation'],Silent Hunter®: Wolves of the Pacific U-Boat Missions,2008,"['Simulation', 'World War II', 'Naval']",15240,435
['Adventure'],Bone: Out From Boneville,2005,"['Adventure', 'Point & Click']",8310,113
['Racing'],Midnight Outlaw: 6 Hours to SunUp,2005,['Racing'],12600,299
['Adventure'],Bone: The Great Cow Race,2006,"['Adventure', 'Point & Click']",8320,222
['Racing'],Sprint Cars Road to Knoxville,2008,['Racing'],12590,1647
Sin dato,Dr. Daisy Pet Vet,2008,['Casual'],12580,4
['Simulation'],Ride! Carnival Tycoon,2007,"['Simulation', 'Management']",12560,48
Sin dato,Hot Dish,2008,['Casual'],12570,4
['Casual'],Mahjongg Investigations: Under Suspicion,2007,"['Casual', 'Puzzle']",12540,30
['Adventure'],Dracula Origin,2008,"['Adventure', 'Point & Click', 'Vampire', 'Puzzle']",11050,1
['Sports'],Beijing 2008™ - The Official Video Game of the Olympic Games,2008,['Sports'],10520,0
"['Adventure', 'RPG']",Sherlock Holmes - Nemesis,2008,"['Adventure', 'RPG', 'Point & Click', 'Detective', 'Mystery', 'Puzzle']",11040,10
"['Adventure', 'Indie']",Eternity's Child,2008,"['Indie', 'Adventure', 'Platformer']",19500,14
"['Simulation', 'Strategy']",Pacific Storm Allies,2007,"['Simulation', 'Strategy', 'World War II', 'Naval']",11260,222
"['Action', 'Indie']",Tank Universal,2008,"['Action', 'Indie', 'Tanks', 'Singleplayer', 'Retro', 'Atmospheric', 'Casual', 'Story Rich', 'Great Soundtrack']",19200,24
['Racing'],FlatOut: Ultimate Carnage,2008,"['Racing', 'Destruction', 'Multiplayer', 'Arcade', 'Action', 'Singleplayer', 'Physics', 'Great Soundtrack', 'Driving']",12360,188
